2017-01-24 14:56:07 | 68.181.207.92 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) study @ IPILab site=IPILab&study_uid=2.16.840.1.114151.4.1721.41175.387.4714524
2017-01-24 14:56:28 | 68.181.207.92 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-01-24 14:56:50 | 68.181.207.92 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-01-24 14:57:00 | 68.181.207.92 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-01-24 14:57:08 | 68.181.207.92 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-01-24 14:57:32 | 68.181.207.92 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-01-24 14:57:49 | 68.181.207.92 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-01-24 14:58:09 | 68.181.207.92 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-01-24 14:58:35 | 68.181.207.92 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-01-24 14:58:49 | 68.181.207.92 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-01-24 14:59:12 | 68.181.207.92 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-01-24 14:59:32 | 68.181.207.92 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-01-24 14:59:49 | 68.181.207.92 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-01-24 15:00:09 | 68.181.207.92 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-01-24 15:00:32 | 68.181.207.92 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-01-24 15:00:53 | 68.181.207.92 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-01-24 15:01:09 | 68.181.207.92 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-01-24 15:01:32 | 68.181.207.92 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-01-24 15:01:53 | 68.181.207.92 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-01-24 15:02:09 | 68.181.207.92 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-01-24 15:02:29 | 68.181.207.92 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-01-24 15:02:51 | 68.181.207.92 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-01-24 15:03:11 | 68.181.207.92 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-01-24 15:03:31 | 68.181.207.92 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-01-24 15:03:49 | 68.181.207.92 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-01-24 15:04:11 | 68.181.207.92 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-01-24 15:04:37 | 68.181.207.92 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) study @ IPILab site=IPILab&study_uid=2.16.840.1.114151.4.1721.41175.387.4714524
2017-01-24 15:05:01 | 68.181.207.92 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-01-24 15:05:38 | 68.181.207.92 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-01-24 15:06:01 | 68.181.207.92 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-01-24 15:06:21 | 68.181.207.92 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-01-24 15:06:39 | 68.181.207.92 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-01-24 15:09:45 | 68.181.207.92 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) study @ IPILab site=IPILab&study_uid=2.16.840.1.114151.4.1721.41175.387.4714524
2017-01-24 15:14:05 | 68.181.207.92 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) study @ IPILab site=IPILab&study_uid=1.2.826.0.1.3680043.2.133.1.3.52.1.83.1752
2017-01-24 15:14:31 | 68.181.207.92 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) study @ IPILab site=IPILab&study_uid=2.16.840.1.114151.4.1721.41175.387.4714524
2017-01-24 15:14:52 | 68.181.207.92 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-01-24 15:15:12 | 68.181.207.92 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-01-24 15:15:32 | 68.181.207.92 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-01-24 15:15:52 | 68.181.207.92 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-01-24 15:17:21 | 207.151.59.181 |  | Internet Explorer-7.0-Unknown Windows OS |  (D) study @ IPILab site=IPILab&study_uid=2.16.840.1.114151.4.1721.41175.387.4714524
2017-01-24 15:17:44 | 207.151.59.181 |  | Internet Explorer-7.0-Unknown Windows OS |  (D) study @ IPILab site=IPILab&study_uid=2.16.840.1.114151.4.1721.41175.387.4714524
2017-01-24 15:17:50 | 207.151.59.181 |  | Internet Explorer-7.0-Unknown Windows OS |  (D) study @ IPILab site=IPILab&study_uid=2.16.840.1.114151.4.1721.41175.387.4714524
2017-01-24 15:18:06 | 207.151.59.181 |  | Internet Explorer-7.0-Unknown Windows OS |  (D) study @ IPILab site=IPILab&study_uid=2.16.840.1.114151.4.1721.41175.387.4714524
2017-01-24 15:18:21 | 207.151.59.181 |  | Internet Explorer-7.0-Unknown Windows OS |  (D) study @ IPILab site=IPILab&study_uid=2.16.840.1.114151.4.1721.41175.387.4714524
2017-01-24 15:20:03 | 207.151.59.181 |  | Mozilla-5.0-Unknown Windows OS |  (D) study @ IPILab site=IPILab&study_uid=2.16.840.1.114151.4.1721.41175.387.4714524
2017-01-24 15:20:25 | 207.151.59.181 |  | Mozilla-5.0-Unknown Windows OS |  (D) 
2017-01-24 15:28:35 | 207.151.59.181 |  | Mozilla-5.0-Unknown Windows OS |  (D) study @ IPILab site=IPILab&study_uid=1.3.6.1.4.1.33437.11.2.5604041.12963173612.145.2
2017-01-24 15:28:37 | 207.151.59.181 |  | Mozilla-5.0-Unknown Windows OS | /usr/bin/dcmj2pnm -v -o -im /home/bme528/www/wado/kohana/application/cache/.images/1.3.6.1.4.1.33437.11.2.5604041.12963173612.145.2/1.3.6.1.4.1.33437.11.3.5604041.12963173613.145.3.0/1.3.6.1.4.1.33437.11.4.5604041.12963173613.145.4.0.0.0.dcm 2>&1
2017-01-24 15:28:56 | 207.151.59.181 |  | Mozilla-5.0-Unknown Windows OS |  (D) 
2017-01-24 15:29:17 | 207.151.59.181 |  | Mozilla-5.0-Unknown Windows OS |  (D) 
2017-01-24 15:29:36 | 207.151.59.181 |  | Mozilla-5.0-Unknown Windows OS |  (D) 
2017-01-24 15:29:57 | 207.151.59.181 |  | Mozilla-5.0-Unknown Windows OS |  (D) 
2017-01-24 15:30:17 | 207.151.59.181 |  | Mozilla-5.0-Unknown Windows OS |  (D) 
2017-01-24 15:30:37 | 207.151.59.181 |  | Mozilla-5.0-Unknown Windows OS |  (D) 
