2017-02-02 21:14:22 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) study @ IPILab site=IPILab&study_uid=1.3.6.1.4.1.33437.11.2.5604041.12963173612.145.2
2017-02-02 21:14:23 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 | /usr/bin/dcmj2pnm -v -o -im /home/bme528/www/wado/kohana/application/cache/.images/1.3.6.1.4.1.33437.11.2.5604041.12963173612.145.2/1.3.6.1.4.1.33437.11.3.5604041.12963173613.145.3.0/1.3.6.1.4.1.33437.11.4.5604041.12963173613.145.4.0.0.0.dcm 2>&1
2017-02-02 21:14:43 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 21:15:03 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 21:15:23 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 21:15:43 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 21:16:03 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 21:16:21 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 21:16:23 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 21:16:48 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 21:16:55 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 21:16:57 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 21:17:09 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 21:17:10 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 21:17:11 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 21:17:12 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 21:17:15 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 21:17:16 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 21:17:19 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 21:17:29 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 21:17:30 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 21:17:30 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 21:17:45 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 21:17:47 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 21:17:50 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 21:17:51 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 21:17:52 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
