2017-02-03 11:11:48 | 68.181.88.48 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) study @ IPILab site=IPILab&study_uid=1.2.826.0.1.3680043.2.133.1.3.52.1.83.1752
2017-02-03 11:12:09 | 68.181.88.48 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:12:29 | 68.181.88.48 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:12:49 | 68.181.88.48 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:13:09 | 68.181.88.48 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:13:29 | 68.181.88.48 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:13:49 | 68.181.88.48 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:14:09 | 68.181.88.48 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:14:29 | 68.181.88.48 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:14:45 | 68.181.97.13 |  | Chrome-55.0.2883.87-Windows 7 |  (D) study @ IPILab site=IPILab&study_uid=1.2.826.0.1.3680043.2.133.1.3.52.1.83.1752
2017-02-03 11:14:49 | 68.181.88.48 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:15:09 | 68.181.88.48 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:15:29 | 68.181.88.48 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:15:52 | 68.181.88.48 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:16:09 | 68.181.88.48 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:16:29 | 68.181.88.175 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) study @ IPILab site=IPILab&study_uid=1.2.826.0.1.3680043.2.133.1.3.52.1.83.1752
2017-02-03 11:16:29 | 68.181.88.48 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:16:34 | 68.181.88.175 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) study @ IPILab site=IPILab&study_uid=2.16.840.1.114151.4.1721.41175.387.4714524
2017-02-03 11:16:49 | 68.181.88.48 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:16:55 | 68.181.88.175 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:17:09 | 68.181.88.48 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:17:15 | 68.181.88.175 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:17:29 | 68.181.88.48 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:17:35 | 68.181.88.175 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
