2017-02-04 17:01:27 | 173.0.117.24 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) study @ IPILab site=IPILab&study_uid=1.3.6.1.4.1.33437.11.2.5604041.12963173612.145.2
2017-02-04 17:01:29 | 173.0.117.24 |  | Chrome-55.0.2883.87-Unknown Windows OS | /usr/bin/dcmj2pnm -v -o -im /home/bme528/www/wado/kohana/application/cache/.images/1.3.6.1.4.1.33437.11.2.5604041.12963173612.145.2/1.3.6.1.4.1.33437.11.3.5604041.12963173613.145.3.0/1.3.6.1.4.1.33437.11.4.5604041.12963173613.145.4.0.0.0.dcm 2>&1
2017-02-04 17:01:38 | 173.0.117.24 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) study @ IPILab site=IPILab&study_uid=1.3.6.1.4.1.33437.11.2.5604041.12963173612.145.2
2017-02-04 17:01:49 | 173.0.117.24 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-04 17:02:09 | 173.0.117.24 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-04 17:02:29 | 173.0.117.24 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-04 17:02:49 | 173.0.117.24 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-04 17:03:09 | 173.0.117.24 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-04 17:03:29 | 173.0.117.24 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-04 17:03:49 | 173.0.117.24 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-04 17:04:09 | 173.0.117.24 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-04 17:04:29 | 173.0.117.24 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-04 17:04:49 | 173.0.117.24 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-04 17:05:09 | 173.0.117.24 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-04 17:05:29 | 173.0.117.24 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-04 17:05:49 | 173.0.117.24 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-04 17:06:09 | 173.0.117.24 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-04 17:06:29 | 173.0.117.24 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-04 17:06:49 | 173.0.117.24 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-04 17:07:09 | 173.0.117.24 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-04 17:07:29 | 173.0.117.24 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-04 17:07:49 | 173.0.117.24 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-04 17:08:09 | 173.0.117.24 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-04 17:08:29 | 173.0.117.24 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-04 17:08:49 | 173.0.117.24 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-04 17:09:09 | 173.0.117.24 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-04 17:09:29 | 173.0.117.24 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-04 17:09:49 | 173.0.117.24 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-04 17:10:09 | 173.0.117.24 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-04 17:10:29 | 173.0.117.24 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-04 17:10:49 | 173.0.117.24 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-04 17:11:09 | 173.0.117.24 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-04 17:11:29 | 173.0.117.24 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-04 17:11:49 | 173.0.117.24 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-04 17:12:09 | 173.0.117.24 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-04 17:12:29 | 173.0.117.24 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-04 17:12:49 | 173.0.117.24 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
